commit_short,instance_id,base_commit,seed_node_id,seed_node_resolved,seed_resolution_mode,seed_depth,embed_nodes,vector_used,seed_pool_idx,scanned,skipped_original,skipped_test_file,skipped_depth_mismatch,top_indices,compat_nonempty,candidates,best_anchor_node_id,best_vector_score,best_topology_score,best_final_score,failure_reason,elapsed_s
004b4620,django__django-14787,004b4620f6f4ad87261e149898940f2dcd5757ef,django/utils/decorators.py:_update_method_wrapper,django/utils/decorators.py:_update_method_wrapper,exact,3,30665,1,4384,164,3,105,6,50,45,5,django/utils/decorators.py:decorator_from_middleware,0.583814,0.959717,0.809356,,0.6653
00ea883e,django__django-14672,00ea883ef56fb5e092cbe4a6f7ff2e7470886ac4,django/utils/hashable.py:make_hashable,django/utils/hashable.py:make_hashable,exact,3,30254,1,6542,119,2,65,2,50,33,5,django/utils/itercompat.py:is_iterable,0.553053,0.985654,0.812614,,0.7662
03cadb91,django__django-15213,03cadb912c78b769d6bf4a943a2a35fc1d952960,django/db/models/query_utils.py:Q.__invert__,django/db/models/query_utils.py:Q.__invert__,exact,5,30896,1,52677,439,1,225,163,50,32,5,django/db/models/lookups.py:UUIDTextMixin.process_rhs,0.421244,0.765180,0.627606,,0.8137
0456d3e4,django__django-13447,0456d3e42795481a186db05719300691fe2a1029,django/contrib/admin/sites.py:AdminSite._build_app_dict,django/contrib/admin/sites.py:AdminSite._build_app_dict,exact,4,29880,1,36681,198,4,106,38,50,49,5,django/contrib/admin/options.py:ModelAdmin.get_model_perms,0.736232,0.980318,0.882684,,0.7394
04b15022,django__django-16229,04b15022e8d1f49af69d8a1e6cd678f31f1280ff,django/contrib/postgres/fields/array.py:ArrayField.to_python,django/contrib/postgres/fields/array.py:ArrayField.to_python,exact,4,31996,1,45364,139,2,19,68,50,49,5,django/contrib/auth/forms.py:UsernameField.to_python,0.647072,0.941147,0.823517,,0.7781
0773837e,django__django-13658,0773837e15bb632afffb6848a58c59a791008fa1,django/core/management/__init__.py:ManagementUtility.execute,django/core/management/__init__.py:ManagementUtility.execute,exact,2,29260,1,21415,204,2,151,1,50,50,5,django/core/management/base.py:BaseCommand.create_parser,0.637540,0.969811,0.836903,,0.7388
08a4ee06,django__django-11283,08a4ee06510ae45562c228eefbdcaac84bd38c7a,django/contrib/auth/models.py:Permission,,missing,3,0,0,-1,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_anchor_not_in_commit_map,0.3892
0bd2c0c9,django__django-16400,0bd2c0c9015b53c41394a1c0989afbfd94dc2830,django/contrib/auth/management/__init__.py:create_permissions,django/contrib/auth/management/__init__.py:create_permissions,exact,4,32098,1,50678,334,2,240,42,50,50,5,django/db/backends/base/schema.py:BaseDatabaseSchemaEditor.create_model,0.581385,0.973402,0.816595,,0.6711
0c42cdf0,django__django-13925,0c42cdf0d2422f4c080e93594d5d15381d6e955e,django/apps/config.py:AppConfig.default_auto_field,django/apps/config.py:AppConfig.default_auto_field,exact,2,29458,1,48459,169,1,109,9,50,41,5,django/db/models/options.py:Options._get_default_pk_class,0.766055,0.921108,0.859087,,0.7548
0d4e575c,django__django-14997,0d4e575c96d408e0efb4dfd0cbfc864219776950,django/db/backends/sqlite3/schema.py:DatabaseSchemaEditor.add_constraint,django/db/backends/sqlite3/schema.py:DatabaseSchemaEditor.add_constraint,exact,4,30650,1,51479,354,2,287,15,50,50,5,django/db/backends/sqlite3/schema.py:DatabaseSchemaEditor.remove_constraint,0.889829,0.670818,0.758423,,0.7280
